_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.008009,8000169120006174,33.806765610389,-29.165112902155,8000,169120,6174,REX,0.01,R5,0.991,0.22,1,1
0.005728,8000169120006202,33.807973704798,-29.162941333447,8000,169120,6202,REX,0.001,R7,0.881,0.173,1,1
0.004854,8000169120006203,33.808620092225,-29.162069779805,8000,169120,6203,REX,0.02,R0,0.907,0.265,1,1
0.006876,8000169120006204,33.808412331798,-29.164098286381,8000,169120,6204,PSF,0.002,P3,1.135,0.262,1,1
0.005669,8000169120006261,33.805187024726,-29.162180818128,8000,169120,6261,PSF,0.004,P9,1.42,0.656,1,0
0.002667,8000169120006337,33.810260519168,-29.159291582355,8000,169120,6337,REX,0.001,R7,0.943,0.21,1,1
0.002874,8000169120006359,33.805617024501,-29.158845466945,8000,169120,6359,REX,0.011,R5,0.957,0.368,1,1
0.003805,8000169120006446,33.804007657196,-29.156765974901,8000,169120,6446,PSF,0.003,P3,1.221,0.345,1,1
0.002873,8000169120006459,33.805679774862,-29.155523642206,8000,169120,6459,REX,0.074,R7,0.534,0.127,1,1
0.005747,8000169120006511,33.802230490651,-29.155072880517,8000,169120,6511,REX,0.005,R0,0.778,0.576,1,0
0.001252,8000169120006335,33.809762193706,-29.15732292555,8000,169120,6335,EXP,0.0,E7,0.941,0.12,0,0
0.003669,8000169120006336,33.812528995528,-29.157404977103,8000,169120,6336,REX,0.0,R6,0.921,0.07,1,1
0.006138,8000169120006338,33.815265369865,-29.158234841362,8000,169120,6338,REX,0.002,R7,0.925,0.172,1,1
0.002161,8000169120006339,33.810759557769,-29.157649141616,8000,169120,6339,REX,0.006,R6,1.027,0.116,0,0
0.005585,8000169120006340,33.814030652141,-29.159760396708,8000,169120,6340,PSF,0.185,P3,1.147,0.256,1,1
0.00517,8000169120006341,33.813910054646,-29.158957058886,8000,169120,6341,PSF,0.006,P0,1.622,0.671,1,0
0.001026,8000169120006342,33.809490446334,-29.157046428517,8000,169120,6342,DEV,0.004,D8,0.563,0.085,0,0
0.004256,8000169120006343,33.813084427441,-29.158169555366,8000,169120,6343,REX,0.013,R6,1.136,0.194,1,1
0.007247,8000169120006543,33.815415508513,-29.153445029656,8000,169120,6543,PSF,0.011,P7,0.742,0.363,1,0
0.005485,8000169120006553,33.812038831957,-29.152793426011,8000,169120,6553,PSF,0.001,P7,1.738,0.482,1,1
0.004947,8000169120006566,33.809503932495,-29.152382153656,8000,169120,6566,REX,0.001,R5,1.033,0.221,1,1
0.006045,8000169120006585,33.806317460311,-29.151439266634,8000,169120,6585,EXP,0.003,E0,0.905,0.082,1,1
0.00778,8000169120006620,33.804449968339,-29.150220243228,8000,169120,6620,PSF,0.001,P7,1.634,0.477,1,1
0.008102,8000169120006621,33.803143448569,-29.150506715691,8000,169120,6621,REX,0.001,R5,1.467,0.455,1,1
0.008118,8000169120006659,33.807436037429,-29.149142344676,8000,169120,6659,REX,0.003,R5,1.016,0.231,1,1
